capacity,time,prod,cons,delta,charge,sold_without,sold_with,bought_without,bought_with
0.01,1467323100.0,0.0,0.0799999999999,-0.0799999999999,0,7139.67,7121.15,6922.68,6904.16
0.02,1467323100.0,0.0,0.0799999999999,-0.0799999999999,0,7139.67,7104.96,6922.68,6887.97
0.04,1467323100.0,0.0,0.0799999999999,-0.0799999999999,0,7139.67,7075.61,6922.68,6858.62
0.08,1467323100.0,0.0,0.0799999999999,-0.0799999999999,0,7139.67,7023.46,6922.68,6806.47
0.16,1467323100.0,0.0,0.0799999999999,-0.0799999999999,0,7139.67,6933.26,6922.68,6716.27
0.32,1467323100.0,0.0,0.0799999999999,-0.0799999999999,0,7139.67,6777.43,6922.68,6560.44
0.64,1467323100.0,0.0,0.0799999999999,-0.0799999999999,0,7139.67,6498.43,6922.68,6281.44
1.28,1467323100.0,0.0,0.0799999999999,-0.0799999999999,0.209999999998,7139.67,5974.03,6922.68,5757.25
2.56,1467323100.0,0.0,0.0799999999999,-0.0799999999999,1.49,7139.67,5020.4,6922.68,4804.9
5.12,1467323100.0,0.0,0.0799999999999,-0.0799999999999,4.05,7139.67,3930.44,6922.68,3717.5
10.24,1467323100.0,0.0,0.0799999999999,-0.0799999999999,9.17,7139.67,3409.17,6922.68,3201.35
20.48,1467323100.0,0.0,0.0799999999999,-0.0799999999999,19.41,7139.67,3271.35,6922.68,3073.77
40.96,1467323100.0,0.0,0.0799999999999,-0.0799999999999,39.89,7139.67,3162.1,6922.68,2985.0
81.92,1467323100.0,0.0,0.0799999999999,-0.0799999999999,80.85,7139.67,2998.2,6922.68,2862.06
163.84,1467323100.0,0.0,0.0799999999999,-0.0799999999999,162.77,7139.67,2670.52,6922.68,2616.3
327.68,1467323100.0,0.0,0.0799999999999,-0.0799999999999,326.61,7139.67,2159.19,6922.68,2268.81
655.36,1467323100.0,0.0,0.0799999999999,-0.0799999999999,493.26,7139.67,1337.18,6922.68,1613.45
1310.72,1467323100.0,0.0,0.0799999999999,-0.0799999999999,640.79,7139.67,562.09,6922.68,985.89
2621.44,1467323100.0,0.0,0.0799999999999,-0.0799999999999,1202.88,7139.67,0,6922.68,985.89
5242.88,1467323100.0,0.0,0.0799999999999,-0.0799999999999,1202.88,7139.67,0,6922.68,985.89
10485.76,1467323100.0,0.0,0.0799999999999,-0.0799999999999,1202.88,7139.67,0,6922.68,985.89
20971.52,1467323100.0,0.0,0.0799999999999,-0.0799999999999,1202.88,7139.67,0,6922.68,985.89
41943.04,1467323100.0,0.0,0.0799999999999,-0.0799999999999,1202.88,7139.67,0,6922.68,985.89
83886.08,1467323100.0,0.0,0.0799999999999,-0.0799999999999,1202.88,7139.67,0,6922.68,985.89
167772.16,1467323100.0,0.0,0.0799999999999,-0.0799999999999,1202.88,7139.67,0,6922.68,985.89
335544.32,1467323100.0,0.0,0.0799999999999,-0.0799999999999,1202.88,7139.67,0,6922.68,985.89
671088.64,1467323100.0,0.0,0.0799999999999,-0.0799999999999,1202.88,7139.67,0,6922.68,985.89
